Open time,Open,High,Low,Close,Volume
1534809600000.0,0.008545,0.008761,0.008508,0.008704,144963.86
1534896000000.0,0.008703,0.008725,0.008534,0.00869,150184.13
1534982400000.0,0.008672,0.008869,0.008348,0.008772,147724.52
1535068800000.0,0.00878,0.00883,0.008545,0.008645,159245.4
1535155200000.0,0.008648,0.00867,0.00853,0.008594,139266.25
1535241600000.0,0.008585,0.0086,0.00847,0.008508,148141.0
1535328000000.0,0.008508,0.008908,0.00847,0.00878,166236.5
1535414400000.0,0.00878,0.00896,0.008633,0.008926,168609.85
1535500800000.0,0.008926,0.00897,0.008676,0.008731,168405.52
1535587200000.0,0.008741,0.008756,0.008554,0.008614,162038.35
1535673600000.0,0.008623,0.00908,0.008567,0.008849,165949.24
1535760000000.0,0.008845,0.00936,0.00883,0.009238,180010.5
1535846400000.0,0.00924,0.009274,0.008882,0.009072,159128.3
1535932800000.0,0.009072,0.00909,0.008899,0.009,147929.24
1536019200000.0,0.009016,0.009396,0.008993,0.009185,174256.36
1536105600000.0,0.009185,0.00927,0.008575,0.008606,204171.57
1536192000000.0,0.008606,0.00886,0.008502,0.008837,219266.87
1536278400000.0,0.008825,0.008959,0.008667,0.008684,166076.03
1536364800000.0,0.008696,0.008871,0.008479,0.00858,150088.04
1536451200000.0,0.008593,0.008873,0.008483,0.00876,156575.31
1536537600000.0,0.008761,0.008892,0.008474,0.00862,152972.44
1536624000000.0,0.008615,0.008619,0.008064,0.008262,177146.26
1536710400000.0,0.008263,0.008276,0.007583,0.008161,195583.25
1536796800000.0,0.00816,0.008488,0.008135,0.008394,184885.94
1536883200000.0,0.008385,0.009,0.008222,0.008674,171549.24
1536969600000.0,0.008677,0.008954,0.008565,0.008655,139805.99
1537056000000.0,0.008653,0.008837,0.008502,0.008738,57207.93
1537142400000.0,0.008738,0.00887,0.008256,0.008326,183412.77
1537228800000.0,0.008328,0.008691,0.008094,0.008533,189280.65
1537315200000.0,0.008524,0.008618,0.008301,0.008485,169871.55
1537401600000.0,0.0085,0.0088,0.008357,0.008708,182209.38
1537488000000.0,0.008693,0.009254,0.008508,0.008991,243381.82
1537574400000.0,0.009006,0.009125,0.008698,0.009019,130109.09
